,file_name,multiplicity
81,low/COC=O+CO[O]_CO[C]=O+COO.xyz,2
82,med/[OH]+CC(C)(C)OCC(CO)OC(C)(C)C_O+[CH2]C(C)(C)OC(CO)COC(C)(C)C.xyz,2
83,low/[CH]=CC=C+CC(C)CO_C=CC=C+C[C](C)CO.xyz,2
84,med/[O]O+[CH2]C=CCCC(C)C_[O][O]+CC=CCCC(C)C.xyz,3
85,low/C=[C]C+C=CCC_C=CC+C=C[CH]C.xyz,2
86,med/C[CH]C=CCC(C)C+C_[CH3]+CCC=CCC(C)C.xyz,2
87,med/[CH3]+CC(=O)C(C)CC(C)C_C[C](C)CC(C)C(C)=O+C.xyz,2
88,med/[OH]+CCC(C)CC(C)C_O+[CH2]CC(C)CC(C)C.xyz,2
89,med/[O]O+[CH2]C(C)CC(C)C(C)=O_[O][O]+CC(=O)C(C)CC(C)C.xyz,3
90,low/[CH2]CC=C+CC(C)CO_C=CCC+CC(C)[CH]O.xyz,2
91,med/[O]+C=CCCCC(C)C_[OH]+C=CC[CH]CC(C)C.xyz,3
92,low/CCC=O+C[O]_[CH2]CC=O+CO.xyz,2
93,med/[CH3]+CC(=O)OCCC(C)C_[CH2]C(C)CCOC(C)=O+C.xyz,2
94,high/C+[O]O_[CH3]+OO.xyz,2
95,high/[O]O+[O]O_OO+[O][O].xyz,3
96,low/[O]OC=O+C#CC_O=COO+C#C[CH2].xyz,2
97,med/[CH2]C(C)=CCCCC+OO_[O]O+CCCCC=C(C)C.xyz,2
98,med/[OH]+CCCCC=C(C)C_CCCC[C]=C(C)C+O.xyz,2
99,high/OO+[OH]_O+[O]O.xyz,2
100,high/CCO+[O]O_CC[O]+OO.xyz,2
101,low/C=CC+CCC(C)O[O]_[CH2]C=C+CCC(C)OO.xyz,2
102,low/CCO+[H]_[CH2]CO+[H][H].xyz,2
103,med/[O]O+C=[C]CCCC(C)C_[O][O]+C=CCCCC(C)C.xyz,3
104,med/[O]+CC1=CCC2CC1C2(C)C_[OH]+[CH2]C1=CCC2CC1C2(C)C.xyz,3
105,low/CC(C)CO+C[CH2]_CC(C)C[O]+CC.xyz,2
106,low/O=CCO+[OH]_O=[C]CO+O.xyz,2
107,low/COC=O+[OH]_[CH2]OC=O+O.xyz,2
108,low/[CH2]CC=C+C=CC_C=CCC+[CH2]C=C.xyz,2
109,med/OO+[CH]=CC(C)=CCCC(=C)C_[O]O+C=CC(C)=CCCC(=C)C.xyz,2
110,med/[O]O+CC[C](CC)OC(C)C_[O][O]+CCC(CC)OC(C)C.xyz,3
111,low/CC=CC=O+[CH3]_CC=C[C]=O+C.xyz,2
112,low/C=C+[O]_[CH]=C+[OH].xyz,3
113,med/[OH]+C=CCCCC(C)C_C=CCCC[C](C)C+O.xyz,2
114,low/[CH]=O+C#CC_C=O+C#C[CH2].xyz,2
115,low/[CH]=CC+CC=O_C=CC+[CH2]C=O.xyz,2
116,low/[H][H]+[CH3]_[H]+C.xyz,2
117,high/C[CH2]+OO_CC+[O]O.xyz,2
118,med/CCCC(C)CO+[CH3]_[CH2]CCC(C)CO+C.xyz,2
119,low/C[CH2]+O_CC+[OH].xyz,2
120,low/CO[O]+CC=O_COO+C[C]=O.xyz,2
121,med/[OH]+CCOC(=O)C(C)C_CCOC(=O)[C](C)C+O.xyz,2
122,med/OO+CCC[CH]C(C)CC_[O]O+CCCCC(C)CC.xyz,2
123,med/[O][O]+CCC=CCC(C)C_[O]O+CCC=CC[C](C)C.xyz,3
124,low/CC(C)CO+[CH3]_C[C](C)CO+C.xyz,2
125,med/[H]+CC(=O)OCCC(C)C_CC(=O)OC[CH]C(C)C+[H][H].xyz,2
126,low/C+[O][O]_[CH3]+[O]O.xyz,3
127,low/C[C]=O+C#CC=C_CC=O+[CH]=CC#C.xyz,2
128,low/CCC(C)O+[O][O]_[O]O+[CH2]CC(C)O.xyz,3
129,low/[CH2]C(C)=O+CCO_CC(C)=O+[CH2]CO.xyz,2
130,low/[O]OC=O+[H][H]_O=COO+[H].xyz,2
131,med/[OH]+CCCCC(C)CC_O+C[CH]C(C)CCCC.xyz,2
132,low/[H][H]+CC(C)(C)O[O]_[H]+CC(C)(C)OO.xyz,2
